factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
CMA,1965-10-19,false_positive,too_early_to_attribute,1980-09-17,3736.0,False,False,False
CMA,1965-11-03,false_positive,too_early_to_attribute,1980-09-17,3726.0,False,False,False
CMA,1966-01-04,false_positive,too_early_to_attribute,1980-09-17,3684.0,False,False,False
CMA,1966-08-30,false_positive,too_early_to_attribute,1980-09-17,3518.0,False,False,False
CMA,1967-01-09,false_positive,too_early_to_attribute,1980-09-17,3429.0,False,False,False
CMA,1967-04-03,false_positive,too_early_to_attribute,1980-09-17,3371.0,False,False,False
CMA,1967-11-21,false_positive,too_early_to_attribute,1980-09-17,3209.0,False,False,False
CMA,1968-01-02,false_positive,too_early_to_attribute,1980-09-17,3182.0,False,False,False
CMA,1968-06-03,false_positive,too_early_to_attribute,1980-09-17,3078.0,False,False,False
CMA,1969-04-11,false_positive,too_early_to_attribute,1980-09-17,2889.0,False,False,False
CMA,1969-06-26,false_positive,too_early_to_attribute,1980-09-17,2836.0,False,False,False
CMA,1970-04-29,false_positive,too_early_to_attribute,1980-09-17,2625.0,False,False,False
CMA,1970-08-04,false_positive,too_early_to_attribute,1980-09-17,2557.0,False,False,False
CMA,1971-08-17,false_positive,too_early_to_attribute,1980-09-17,2295.0,False,False,False
CMA,1972-11-13,false_positive,too_early_to_attribute,1980-09-17,1980.0,False,False,False
CMA,1974-01-03,false_positive,too_early_to_attribute,1980-09-17,1695.0,False,False,False
CMA,1974-03-15,false_positive,too_early_to_attribute,1980-09-17,1645.0,False,False,False
CMA,1975-06-27,false_positive,too_early_to_attribute,1980-09-17,1320.0,False,False,False
CMA,1975-07-17,false_positive,too_early_to_attribute,1980-09-17,1307.0,False,False,False
CMA,1975-11-12,false_positive,too_early_to_attribute,1980-09-17,1224.0,False,False,False
CMA,1976-06-23,false_positive,too_early_to_attribute,1980-09-17,1070.0,False,False,False
CMA,1976-08-10,false_positive,too_early_to_attribute,1980-09-17,1037.0,False,False,False
CMA,1977-10-12,false_positive,too_early_to_attribute,1980-09-17,741.0,False,False,False
