factor,collapse_start,collapse_end,duration_trading_days,start_sharpe,start_boundary,minimum_event_sharpe,minimum_sharpe_minus_boundary
SMB,1969-08-12,1969-08-20,7,-1.4870485636112207,-1.401711098615459,-1.5668010573905151,-0.16578806240113786
SMB,1969-11-21,1970-07-23,169,-1.4628474838841499,-1.4019719001257043,-4.518266565076513,-1.795077584991851
MKT_RF,1969-11-24,1969-12-31,26,-1.5974903847119635,-1.502103837428297,-2.2917726338798032,-0.6743838314549133
HML,1969-12-10,1970-01-22,30,-1.6194917232403825,-1.6188918496228584,-2.081928937287591,-0.3553268724444285
MKT_RF,1970-01-26,1970-02-18,18,-1.8560789219151552,-1.7458299257340992,-2.23430132032986,-0.4632948068006424
MKT_RF,1970-04-22,1970-06-05,33,-2.0711926471079125,-2.010578862118457,-3.628391333874861,-1.3976582160357527
MOM,1971-02-01,1971-02-19,14,-0.844836549674135,-0.8383497693047475,-1.3835324956517374,-0.48063396942857417
HML,1972-01-06,1972-01-20,11,-2.554423377476737,-2.4797160551392494,-2.8107496228882187,-0.2881322918133504
SMB,1973-01-31,1973-06-29,105,-5.088225446199475,-4.972098912044875,-8.097042985307437,-2.2273142885530826
RMW,1973-12-17,1974-03-20,65,-2.795136272112151,-2.6892679539551185,-4.098202437070643,-1.2829129130245636
MOM,1975-12-03,1975-12-29,18,-2.4953820887489218,-2.388448315999858,-2.8581255286839906,-0.40054709503740193
HML,1978-05-11,1978-06-15,25,-0.23062146556919835,-0.05810421941497257,-0.5351005999888212,-0.45298678929572533
HML,1980-07-09,1980-12-05,105,-2.066302714558999,-2.04874657806002,-3.8116777415043126,-1.0999678366130876
CMA,1980-09-17,1981-01-02,74,-1.166656654923642,-1.1525480716955228,-2.350607803448988,-0.9070146914857553
MKT_RF,1981-09-17,1981-10-26,28,-1.137700954209621,-0.978824727534372,-1.4465320840122404,-0.4487541855518178
MKT_RF,1981-11-12,1981-11-27,11,-1.1669058230980296,-1.1078256712312777,-1.5176894179525944,-0.3870687031633926
MOM,1981-11-20,1981-12-21,21,-1.1275167884817727,-1.0676553557424602,-1.6906041090392128,-0.5968527315928136
MKT_RF,1981-12-21,1982-01-27,26,-1.1988125832163932,-1.18324104754188,-1.5940748681913335,-0.3548883256970734
MKT_RF,1982-02-22,1982-04-29,48,-1.4372956795286616,-1.3485273949784626,-2.1168519176957505,-0.6888123185167803
MKT_RF,1982-05-24,1982-07-13,35,-1.7264520492672997,-1.6537968141415436,-2.1890047114836797,-0.43387929695226246
MKT_RF,1982-07-28,1982-08-16,14,-1.9309382503004513,-1.8817984720856316,-2.5113802288230036,-0.5668898069381834
