factor,collapse_start,collapse_end,detected,matched_warning_date,lead_time_days
MKT_RF,2000-12-14,2001-01-25,False,,
MKT_RF,2001-02-02,2001-05-07,False,,
MKT_RF,2001-06-04,2001-10-11,False,,
MKT_RF,2008-05-21,2008-08-07,False,,
MKT_RF,2008-09-09,2008-12-29,True,2008-05-30,70.0
MKT_RF,2009-02-25,2009-03-09,True,2008-09-29,102.0
MKT_RF,2016-01-15,2016-02-29,True,2015-08-24,100.0
SMB,1997-04-22,1997-06-02,True,1996-12-03,96.0
SMB,1997-06-10,1997-06-17,True,1996-12-31,111.0
SMB,1998-08-21,1998-11-27,False,,
SMB,1999-03-04,1999-04-12,False,,
SMB,2007-11-16,2007-12-17,True,2007-06-08,113.0
SMB,2008-01-03,2008-01-18,True,2007-08-08,102.0
SMB,2008-02-21,2008-03-20,False,,
SMB,2014-09-15,2014-10-27,False,,
SMB,2014-11-28,2014-12-08,True,2014-10-15,31.0
SMB,2019-05-30,2019-09-09,True,2019-02-13,73.0
SMB,2020-03-10,2020-03-18,True,2020-03-02,6.0
HML,1998-12-22,1999-02-11,False,,
HML,1999-03-05,1999-04-16,False,,
HML,1999-10-01,1999-10-21,True,1999-04-19,116.0
HML,1999-11-18,2000-01-10,False,,
HML,2000-02-07,2000-03-13,False,,
HML,2007-07-05,2008-01-28,True,2007-05-15,35.0
RMW,1993-04-21,1993-05-18,True,1992-10-21,125.0
RMW,1993-05-28,1994-01-05,False,,
RMW,1999-03-17,1999-06-21,False,,
RMW,1999-08-26,2000-03-22,True,1999-04-19,91.0
RMW,2012-12-13,2013-03-18,True,2012-09-27,52.0
RMW,2013-04-09,2013-09-25,True,2012-10-17,116.0
RMW,2020-04-17,2020-04-27,True,2020-02-05,50.0
RMW,2021-02-05,2021-02-19,False,,
RMW,2025-06-20,2025-07-09,False,,
RMW,2025-08-04,2025-09-10,True,2025-07-03,21.0
RMW,2025-09-18,2026-01-28,True,2025-07-17,44.0
RMW,2026-04-01,2026-05-29,True,2026-02-04,39.0
CMA,1991-02-15,1991-02-25,False,,
CMA,1991-07-22,1992-01-15,False,,
CMA,1999-01-15,1999-02-01,True,1998-08-31,95.0
CMA,1999-10-06,1999-10-13,False,,
CMA,2004-11-03,2004-11-16,True,2004-09-02,43.0
CMA,2004-11-24,2005-06-01,False,,
CMA,2014-03-13,2014-03-21,True,2013-10-08,107.0
CMA,2015-04-23,2015-05-21,False,,
CMA,2015-07-10,2015-08-05,False,,
CMA,2023-12-27,2024-01-22,True,2023-09-28,62.0
MOM,1994-07-25,1994-10-14,True,1994-02-18,106.0
MOM,2001-01-19,2001-02-01,True,2001-01-03,11.0
MOM,2001-03-01,2001-03-13,False,,
MOM,2003-05-30,2003-10-31,False,,
MOM,2004-02-02,2004-04-01,True,2003-09-24,89.0
MOM,2010-01-15,2010-03-15,True,2009-09-17,83.0
MOM,2016-08-01,2016-10-04,True,2016-05-23,48.0
MOM,2016-10-25,2017-03-02,True,2016-08-25,42.0
MOM,2017-03-23,2017-04-11,True,2016-11-09,91.0
