factor,collapse_start,collapse_end,detected,matched_warning_date,lead_time_days
MKT_RF,2000-12-14,2001-01-25,True,2000-10-12,44.0
MKT_RF,2001-02-02,2001-05-07,True,2000-10-26,67.0
MKT_RF,2001-06-04,2001-10-11,True,2000-11-30,126.0
MKT_RF,2008-05-21,2008-08-07,True,2007-11-26,122.0
MKT_RF,2008-09-09,2008-12-29,True,2008-03-14,123.0
MKT_RF,2009-02-25,2009-03-09,True,2008-09-15,112.0
MKT_RF,2016-01-15,2016-02-29,True,2015-08-21,101.0
SMB,1997-04-22,1997-06-02,True,1996-12-12,89.0
SMB,1997-06-10,1997-06-17,True,1996-12-31,111.0
SMB,1998-08-21,1998-11-27,True,1998-08-11,8.0
SMB,1999-03-04,1999-04-12,True,1998-09-30,106.0
SMB,2007-11-16,2007-12-17,True,2007-06-26,101.0
SMB,2008-01-03,2008-01-18,True,2007-07-10,123.0
SMB,2008-02-21,2008-03-20,True,2007-11-07,71.0
SMB,2014-09-15,2014-10-27,False,,
SMB,2014-11-28,2014-12-08,True,2014-10-09,35.0
SMB,2019-05-30,2019-09-09,True,2018-12-18,111.0
SMB,2020-03-10,2020-03-18,True,2020-02-24,11.0
HML,1998-12-22,1999-02-11,True,1998-08-11,93.0
HML,1999-03-05,1999-04-16,True,1998-09-30,107.0
HML,1999-10-01,1999-10-21,False,,
HML,1999-11-18,2000-01-10,False,,
HML,2000-02-07,2000-03-13,False,,
HML,2007-07-05,2008-01-28,True,2007-02-27,89.0
RMW,1993-04-21,1993-05-18,False,,
RMW,1993-05-28,1994-01-05,False,,
RMW,1999-03-17,1999-06-21,True,1998-09-30,115.0
RMW,1999-08-26,2000-03-22,False,,
RMW,2012-12-13,2013-03-18,False,,
RMW,2013-04-09,2013-09-25,False,,
RMW,2020-04-17,2020-04-27,True,2020-02-24,38.0
RMW,2021-02-05,2021-02-19,False,,
RMW,2025-06-20,2025-07-09,True,2024-12-18,124.0
RMW,2025-08-04,2025-09-10,True,2025-03-04,105.0
RMW,2025-09-18,2026-01-28,True,2025-04-03,115.0
RMW,2026-04-01,2026-05-29,True,2026-03-06,18.0
CMA,1991-02-15,1991-02-25,True,1991-01-09,27.0
CMA,1991-07-22,1992-01-15,False,,
CMA,1999-01-15,1999-02-01,True,1998-08-11,109.0
CMA,1999-10-06,1999-10-13,False,,
CMA,2004-11-03,2004-11-16,False,,
CMA,2004-11-24,2005-06-01,False,,
CMA,2014-03-13,2014-03-21,True,2013-10-07,108.0
CMA,2015-04-23,2015-05-21,True,2014-12-11,90.0
CMA,2015-07-10,2015-08-05,True,2015-01-28,113.0
CMA,2023-12-27,2024-01-22,False,,
MOM,1994-07-25,1994-10-14,True,1994-02-24,103.0
MOM,2001-01-19,2001-02-01,True,2000-10-12,67.0
MOM,2001-03-01,2001-03-13,True,2000-10-26,85.0
MOM,2003-05-30,2003-10-31,False,,
MOM,2004-02-02,2004-04-01,False,,
MOM,2010-01-15,2010-03-15,False,,
MOM,2016-08-01,2016-10-04,True,2016-02-11,118.0
MOM,2016-10-25,2017-03-02,False,,
MOM,2017-03-23,2017-04-11,False,,
