factor,collapse_start,kurtosis_detected,kurtosis_lead_time_days,vix_detected,vix_lead_time_days,detection_overlap
MKT_RF,2000-12-14,False,,True,44.0,vix_only
MKT_RF,2001-02-02,False,,True,67.0,vix_only
MKT_RF,2001-06-04,False,,True,126.0,vix_only
MKT_RF,2008-05-21,False,,True,122.0,vix_only
MKT_RF,2008-09-09,True,70.0,True,123.0,both
MKT_RF,2009-02-25,True,102.0,True,112.0,both
MKT_RF,2016-01-15,True,100.0,True,101.0,both
SMB,1997-04-22,True,96.0,True,89.0,both
SMB,1997-06-10,True,111.0,True,111.0,both
SMB,1998-08-21,False,,True,8.0,vix_only
SMB,1999-03-04,False,,True,106.0,vix_only
SMB,2007-11-16,True,113.0,True,101.0,both
SMB,2008-01-03,True,102.0,True,123.0,both
SMB,2008-02-21,False,,True,71.0,vix_only
SMB,2014-09-15,False,,False,,neither
SMB,2014-11-28,True,31.0,True,35.0,both
SMB,2019-05-30,True,73.0,True,111.0,both
SMB,2020-03-10,True,6.0,True,11.0,both
HML,1998-12-22,False,,True,93.0,vix_only
HML,1999-03-05,False,,True,107.0,vix_only
HML,1999-10-01,True,116.0,False,,kurtosis_only
HML,1999-11-18,False,,False,,neither
HML,2000-02-07,False,,False,,neither
HML,2007-07-05,True,35.0,True,89.0,both
RMW,1993-04-21,True,125.0,False,,kurtosis_only
RMW,1993-05-28,False,,False,,neither
RMW,1999-03-17,False,,True,115.0,vix_only
RMW,1999-08-26,True,91.0,False,,kurtosis_only
RMW,2012-12-13,True,52.0,False,,kurtosis_only
RMW,2013-04-09,True,116.0,False,,kurtosis_only
RMW,2020-04-17,True,50.0,True,38.0,both
RMW,2021-02-05,False,,False,,neither
RMW,2025-06-20,False,,True,124.0,vix_only
RMW,2025-08-04,True,21.0,True,105.0,both
RMW,2025-09-18,True,44.0,True,115.0,both
RMW,2026-04-01,True,39.0,True,18.0,both
CMA,1991-02-15,False,,True,27.0,vix_only
CMA,1991-07-22,False,,False,,neither
CMA,1999-01-15,True,95.0,True,109.0,both
CMA,1999-10-06,False,,False,,neither
CMA,2004-11-03,True,43.0,False,,kurtosis_only
CMA,2004-11-24,False,,False,,neither
CMA,2014-03-13,True,107.0,True,108.0,both
CMA,2015-04-23,False,,True,90.0,vix_only
CMA,2015-07-10,False,,True,113.0,vix_only
CMA,2023-12-27,True,62.0,False,,kurtosis_only
MOM,1994-07-25,True,106.0,True,103.0,both
MOM,2001-01-19,True,11.0,True,67.0,both
MOM,2001-03-01,False,,True,85.0,vix_only
MOM,2003-05-30,False,,False,,neither
MOM,2004-02-02,True,89.0,False,,kurtosis_only
MOM,2010-01-15,True,83.0,False,,kurtosis_only
MOM,2016-08-01,True,48.0,True,118.0,both
MOM,2016-10-25,True,42.0,False,,kurtosis_only
MOM,2017-03-23,True,91.0,False,,kurtosis_only
