detector,factor,collapse_events,detected_events,warning_events,recall,precision,median_lead_time_days
frozen_excess_kurtosis,MKT_RF,7,3,44,0.42857142857142855,0.06818181818181818,100.0
frozen_excess_kurtosis,SMB,11,7,52,0.6363636363636364,0.1346153846153846,96.0
frozen_excess_kurtosis,HML,6,2,51,0.3333333333333333,0.0392156862745098,75.5
frozen_excess_kurtosis,RMW,12,8,57,0.6666666666666666,0.14035087719298245,51.0
frozen_excess_kurtosis,CMA,10,4,41,0.4,0.0975609756097561,78.5
frozen_excess_kurtosis,MOM,9,7,53,0.7777777777777778,0.1320754716981132,83.0
vix_level_zscore,MKT_RF,7,7,90,1.0,0.07777777777777778,112.0
vix_level_zscore,SMB,11,10,90,0.9090909090909091,0.1111111111111111,95.0
vix_level_zscore,HML,6,3,90,0.5,0.03333333333333333,93.0
vix_level_zscore,RMW,12,6,90,0.5,0.06666666666666667,110.0
vix_level_zscore,CMA,10,5,90,0.5,0.05555555555555555,108.0
vix_level_zscore,MOM,9,4,90,0.4444444444444444,0.044444444444444446,94.0
